liabilities_and_equity,operating_expense_._assets,percent_of_female_borrowers,average_loan_balance_per_borrower,gross_loan_portfolio_to_total_assets,operational_self_sufficiency,finefftheta_hat,se_no_breadththeta_hat,se_with_breadththeta_hat,finsoc_with_breadththeta_hat,finsoc_no_breadththeta_hat
23740344,0.0989,0.7,1020,0.6317,1.1264,0.42014130273058004,0.943762635370794,0.9437626353707937,0.9437626353707937,0.9437626353707937
666885,0.186,0.9411,206,0.6731,1.3683,0.44625853327983467,0.9892991781727571,0.9892991781727569,0.9892991781727569,0.9892991781727571
919348,0.175,0.9411,206,0.6044,1.5016,0.44960586172982875,0.9892991781727571,0.9892991781727571,0.9892991781727571,0.9892991781727571
1221752,0.2231,0.9798,137,0.579,1.405,0.4382206728192587,0.9963479658545444,0.9963479658545444,0.9963479658545444,0.9963479658545444
1257055,0.1462,0.9701,121,0.4887,1.6879,0.45611143915195695,0.9945876734180111,0.9945876734180111,0.9945876734180111,0.9945876734180111
1471758,0.207,0.9298,202,0.8016,1.3122,0.428822083907961,0.9872279455103398,0.9872279455103398,0.9872279455103398,0.9872279455103398
1968915,0.2228,0.9447,201,0.5978,1.1748,0.41465967086532246,0.9899577927087589,0.9899577927087589,0.9899577927087587,0.9899577927087589
1849662,0.198,0.9518,206,0.4869,1.1655,0.4150029033529562,0.9912549670962255,0.9912549670962255,0.9912549670962255,0.9912549670962255
1835250,0.1913,0.9411,208,0.3993,0.8747,0.3940722789235407,0.9892991781727571,0.9892991781727571,0.9892991781727571,0.9892991781727571
1628176,0.1807,0.9028,255,0.4355,0.8733,0.3957817409612059,0.982254766694456,0.982254766694456,0.982254766694456,0.982254766694456
1628176,0.1807,0.9028,290,0.4355,0.8733,0.3957817409612059,0.982254766694456,0.982254766694456,0.982254766694456,0.982254766694456
1628176,0.1807,0.9028,295,0.5074,0.8733,0.3957817409612059,0.982254766694456,0.982254766694456,0.982254766694456,0.982254766694456
1403711,0.1973,0.629,175,0.6406,0.9888,0.4066910691021888,0.9297860284086237,0.9297860284086237,0.9297860284086236,0.9297860284086237
2087843,0.425,0.629,223,0.6566,0.8896,0.39324694818760425,0.9297860284086236,0.9297860284086237,0.9297860284086237,0.9297860284086237
3286052,0.30620000000000003,0.629,347,0.763,1.0677,0.39930713480890917,0.9297860284086236,0.9297860284086236,0.9297860284086237,0.9297860284086236
3240835,0.3061,0.629,290,0.8217,1.1763,0.4070168608073644,0.9297860284086236,0.9297860284086237,0.9297860284086236,0.9297860284086237
3367524,0.2904,0.629,299,0.8008,1.0772,0.3996044041228258,0.9297860284086236,0.9297860284086237,0.9297860284086237,0.9297860284086236
6454313,0.2069,0.629,423,0.6675,1.3237,0.4119256228237584,0.9297860284086237,0.9297860284086236,0.9297860284086237,0.9297860284086237
9765654,0.1877,0.3627,457,0.5135,1.22,0.40509549643629045,0.8748100379874089,0.8748100379874091,0.8748386024063883,0.8748100379874089
9765654,0.1877,0.3627,442,0.5135,1.22,0.40509549643629045,0.8748100379874089,0.8748100379874091,0.8748386024063883,0.8748100379874089
9765654,0.1877,0.3627,400,0.5135,1.22,0.40509549643629045,0.8748100379874089,0.8748100379874091,0.8748386024063883,0.8748100379874089
9765654,0.1877,0.3627,698,0.5135,1.22,0.40509549643629045,0.8748100379874089,0.8748100379874091,0.8748386024063883,0.8748100379874089
9765654,0.1877,0.3627,663,0.5135,1.22,0.40509549643629045,0.8748100379874089,0.8748100379874091,0.8748386024063883,0.8748100379874089
1816343,0.086,0.2783,348,0.6947,0.3839,0.3650318296298451,0.8564739413596753,0.8566580174668441,0.8566580174668441,0.8564739413596753
2097934,0.086,0.6513,378,0.6674,0.3978,0.3662593354693918,0.9342051045495681,0.9342297145897358,0.9342297145897358,0.9342051045495681
6476,0.1366,0.9,2,1.6,1,0.5315256555734984,0.9817370619874429,0.9826355393821803,0.9832583409320499,0.9817370619874429
5359,0.0808,0.95,2,1.2,0.9583,0.5336584742463168,1,1,0.9999999999999996,1
8723,0.1366,0.99,3,1.6,0.9167,0.5141327617866178,0.9981943732238104,0.9985164744280725,0.9985288376315088,0.9981943732238104
26751,0.2807,0.99,5,3.424,0.9071,0.4809708678600013,0.9981943732238107,0.9988958548357632,0.9988989299041288,0.9981943732238104
2504879,0.3022,0.7957,281,0.0209,0.1112,0.3263346762056904,0.9621829854292849,0.9621829854292849,0.9621829854292849,0.9621829854292849
5797273,0.3342,0.7829,805,0.2362,0.4521,0.3485859727777574,0.9597463198073195,0.9597463198073195,0.9597463198073193,0.9597463198073195
7708534,0.345,0.6142,425,0.278,0.7793,0.3740637887503572,0.9268381716159974,0.9268381716159974,0.9268381716159974,0.9268381716159974
10994006,0.343,0.5567,529,0.4467,0.7565,0.3723613109634815,0.9152696456529338,0.9152696456529338,0.9152696456529338,0.915269645652934
19647445,0.28,0.5239,629,0.5542,0.9774,0.3884377535220276,0.9085864922723125,0.9085864922723125,0.9085864922723125,0.9085864922723125
39929830,0.2467,0.5239,713,0.6043,1.0527,0.3937144413069837,0.9085864922723125,0.9085864922723125,0.9085864922723125,0.9085864922723125
55968048,0.2069,0.6,672,0.5435,1.0317,0.3922527787433467,0.9239984532774751,0.9239984532774748,0.9239984532774749,0.9239984532774751
61279919,0.2089,0.6,613,0.5115,1.0386,0.39273387742088783,0.9239984532774751,0.9239984532774749,0.9239984532774751,0.9239984532774749
61279919,0.2272,0.6,592,0.4813,0.8398,0.3785320182837022,0.9239984532774749,0.9239984532774749,0.9239984532774749,0.9239984532774749
65482677,0.2272,0.6,375,0.3675,0.8398,0.3785320182837022,0.9239984532774749,0.9239984532774749,0.9239984532774751,0.9239984532774749
42212200,0.2272,0.6,293,0.4442,1.0213,0.39152608649532383,0.9239984532774749,0.9239984532774749,0.9239984532774751,0.9239984532774749
54006875,0.336,0.6,374,0.4521,1.0573,0.3940336036684848,0.9239984532774749,0.9239984532774751,0.9239984532774749,0.9239984532774749
49700037,0.3244,0.6,374,0.3566,0.7997,0.37557837480891826,0.9239984532774749,0.9239984532774749,0.9239984532774751,0.9239984532774749
31000720,0.3763,0.6,293,0.3434,0.9062,0.3833556691964494,0.9239984532774749,0.9239984532774749,0.9239984532774749,0.9239984532774749
25626411,0.3735,0.6,253,0.3442,0.6958,0.3677779653008186,0.9239984532774749,0.9239984532774749,0.9239984532774751,0.9239984532774749
153654,0.08,0.3632,184,1.0515,0.7088,0.4213632319023346,0.8749172872063646,0.8759421637608443,0.8759421637608443,0.8749172872063646
879539,0.0393,0.3722,118,0.5161,2.2353,0.514943361298218,0.8786874008790466,0.8797186925948611,0.8797695575908945,0.8788598929769068
1188229,0.0868,0.3131,154,0.5538,1.1655,0.42698755595199295,0.8640908746232593,0.8642135183333987,0.8642445983035592,0.8640908746232593
1162392,0.08,0.3514,146,0.5863,1.1272,0.4265261265541582,0.8723819434766469,0.872512325713327,0.8725341798084516,0.8723819434766468
1778342,0.1286,0.4349,185,0.6315,0.8497,0.3926626757535129,0.8901340492881911,0.8901761273456948,0.8901972421696381,0.8901340492881911
2690668,0.1076,0.7314,191,0.5771,1.9987,0.4737649253337041,0.9498585115011389,0.9498585115011391,0.9498585115011389,0.9498585115011389
3461098,0.0668,0.7314,231,0.5888,1.4633,0.45489064651209254,0.9498585115011389,0.9498585115011389,0.9498585115011389,0.9498585115011388
4242256,0.0646,0.7314,231,0.6439,1.1151,0.4309598955611035,0.9498585115011389,0.9498737639184046,0.9498737639184046,0.9498585115011389
5126243,0.0982,0.7314,345,0.6096,0.9564,0.40789429458669,0.9498585115011389,0.9498585115011389,0.9498585115011389,0.9498585115011389
5492253,0.061,0.3925,397,0.663,1.2306,0.4406833679908131,0.8811744078220647,0.8813295206661628,0.8813302378312206,0.8811744078220647
142433,0.1684,0.7582,22,0.1437,0.0739,0.3623490674429812,0.9550209223266236,0.9550209223266236,0.9550209223266236,0.9550209223266236
196914,0.4098,0.5203,36,0.2754,0.1546,0.36549661556344476,0.9078491902934694,0.9078491902934694,0.9078491902934694,0.9078491902934694
196914,0.4098,0.5203,32,0.4688,0.1546,0.36549661556344476,0.9078491902934694,0.9078491902934694,0.9078491902934694,0.9078491902934694
332099,0.3182,0.718,37,0.5126,0.3488,0.3762669388556953,0.9472633851286975,0.9472633851286975,0.9472633851286975,0.9472633851286975
576951,0.2654,0.9347,61,0.7418,0.5164,0.382806333118547,0.9881268210415366,0.9881268210415366,0.9881268210415366,0.9881268210415366
977114,0.1684,0.723,62,0.6866,0.8135,0.3990736576590458,0.948232808094713,0.9482328080947128,0.9482328080947128,0.948232808094713
1183738,0.1427,0.723,62,0.7013,1.022,0.4118437830958748,0.948232808094713,0.948232808094713,0.948232808094713,0.948232808094713
1200553,0.1475,0.7739,57,0.6699,0.9041,0.4028185075795686,0.9580280976091524,0.9580280976091524,0.9580280976091524,0.9580280976091524
1018053,0.1475,0.7739,58,0.6718,0.9041,0.4054209163869588,0.9580280976091524,0.9580280976091524,0.9580280976091524,0.9580280976091524
1427028,0.1475,0.7739,89,0.7646,0.9041,0.40012669362573833,0.9580280976091524,0.9580280976091524,0.9580280976091524,0.9580280976091524
5204473,0.1144,0.8,473,0.9377,1.9214,0.46671945697738415,0.9629997092781115,0.9630283235873482,0.9630682972514786,0.9629997092781115
8077252,0.1618,0.8,481,0.853,2.1247,0.4618597838761176,0.9629997092781115,0.9629997092781115,0.9630119470369484,0.9629997092781115
12680631,0.0711,0.8,436,0.7208,2.3613,0.5088628661316714,0.9629997092781115,0.9630085488712256,0.9630389205701672,0.9629997092781115
18124426,0.078,0.8,551,0.7851,2.0001,0.48502790472413976,0.9629997092781115,0.9630229775495722,0.963044150006202,0.9629997092781115
32628029,0.0801,0.6972,745,0.833,1.9607,0.4818336435653672,0.9432165441055291,0.9432923184485759,0.9433175784381155,0.9432165441055291
50671179,0.0788,0.7246,1171,0.8703,1.8977,0.4784855209808395,0.948542748491745,0.9486236485543587,0.9486440851169708,0.9485427484917449
49246914,0.0871,0.6142,875,0.7527,1.1023,0.422311916871053,0.9268381716159974,0.926906371858966,0.926906371858966,0.9268381716159974
51260808,0.0829,0.6956,1012,0.6452,0.7225,0.39456027989482356,0.9429043062387582,0.9429066533581152,0.9429066533581152,0.9429043062387582
56544375,0.1526,0.6761,1105,0.581,1.0029,0.3946912518426353,0.9390880062108905,0.9390880062108905,0.9390880062108906,0.9390880062108905
53644278,0.1239,0.6547,691,0.5717,0.9521,0.3995633557419267,0.9348764929280412,0.9348764929280412,0.9348764929280414,0.9348764929280412
58133401,0.1167,0.47,743,0.6256,1.0911,0.41187423568766807,0.897467831401768,0.8975065268433365,0.8975305193782281,0.897467831401768
60869037,0.0824,0.3504,758,0.6194,1.3702,0.4428901663524205,0.8721666736906795,0.8722952182537136,0.872317144197575,0.8721666736906795
60869037,0.0824,0.6427,688,0.6194,1.275,0.43627608123874606,0.9325040923339142,0.9325170970060123,0.932520732923327,0.9325040923339142
60869037,0.0824,0.6427,688,0.6194,1.275,0.43627608123874606,0.9325040923339142,0.9325170970060123,0.932520732923327,0.9325040923339142
66187716,0.0824,0.5978,1196,0.5861,1.1735,0.42906006253463963,0.9235574950417929,0.9235747069646218,0.923576312652387,0.923557495041793
62588156,0.0824,0.5978,1492,0.5457,1.0982,0.42359238971577357,0.9235574950417929,0.9235588646286864,0.9235588646286864,0.9235574950417929
53575384,0.0824,0.4596,1267,0.6911,1.1345,0.426240630501734,0.8953026213333066,0.8954142924889944,0.8954197193023632,0.8953026213333066
62620290,0.1091,0.3718,1111,0.7143,1.1703,0.4199319507919671,0.8767594823206878,0.8768820758769488,0.8769087512382086,0.8767594823206876
60567125,0.1091,0.3325,1089,0.7544,1.1703,0.4199319507919671,0.8683024376571244,0.8684565613568075,0.868484676853527,0.8683024376571242
2242352,0.158,0.6078,1793,0.9634,0.6892,0.37690723435258183,0.9255596821838873,0.925614050659473,0.9256344959950283,0.9255596821838873
4192487,0.2166,0.6078,2696,0.9104,1.3058,0.41173889955655135,0.9255596821838875,0.9255596821838875,0.9256072531769742,0.9255596821838875
9872192,0.0785,0.6154,3015,0.9107,1.9173,0.47980354710700035,0.9270776363256585,0.9272144484471475,0.9272401559581407,0.9270776363256585
17410058,0.0821,0.6002,2174,0.9494,1.9644,0.48128903604082146,0.9240385270265725,0.924190148800041,0.9242202047727062,0.9240385270265727
31261867,0.0953,0.4532,2561,0.9174,1.5489,0.4503051950189513,0.893966946802038,0.8941479145600695,0.8941769022187561,0.893966946802038
42881541,0.1009,0.4532,2990,0.8921,1.3081,0.4322380978520984,0.893966946802038,0.8941317284966168,0.8941541385097274,0.893966946802038
44599261,0.0978,0.6483,2953,0.8488,0.9044,0.4040970356225602,0.9336121836544029,0.9336884794430933,0.9336884794430933,0.9336121836544029
37066644,0.2497,0.6483,327,0.0885,0.5334,0.35513515846768523,0.9336121836544029,0.9336121836544029,0.9336121836544029,0.9336121836544029
25945392,0.154,0.6483,1793,0.8441,0.3547,0.34406605755516334,0.9336121836544029,0.9336127592437136,0.9336127592437136,0.9336121836544029
23095255,0.1955,0.4343,1102,0.7584,0.3933,0.3437524494066186,0.8900080350468331,0.8900151391978595,0.8900486794634598,0.8900080350468331
23095255,0.1955,0.4343,1668,0.7599,0.3933,0.3437524494066186,0.8900080350468331,0.8900157111807526,0.8900492225470389,0.8900080350468331
16923102,0.158,0.6298,1563,0.7655,0.5629,0.36012104469742134,0.9299450293505676,0.9299450293505678,0.9299450293505678,0.9299450293505676
16923102,0.158,0.5697,1563,0.7655,0.5399,0.35828544481733327,0.9179014171414007,0.9179014171414007,0.9179157202807398,0.9179014171414007
16923102,0.158,0.7239,246,0.7655,0.52,0.35668760245982073,0.948407165954107,0.9484071659541071,0.948407165954107,0.948407165954107
573464,0.215,0.4201,129,0.8266,0.1969,0.35389312738360723,0.8870192542799912,0.8870559501087402,0.8870761929020582,0.8870192542799912
838796,0.4302,0.4499,157,0.9075,0.7257,0.39449220667121737,0.893277272018593,0.8932885115516472,0.893345421827533,0.893277272018593
2277351,0.2384,0.4264,109,0.9533,1.1813,0.41281652051858536,0.8883467911707965,0.8884213156163947,0.888484754123304,0.8883467911707965
4658612,0.1581,0.4578,199,0.9368,1.7107,0.4392403825346284,0.8949272127791947,0.895034505837728,0.8951059413263327,0.8949272127791951
20563619,0.2106,0.52,253,0.9116,1.1,0.39697911062583435,0.9077877144312861,0.9078103266167715,0.9078689074027129,0.9077877144312864
19298638,0.2421,0.45,209,0.8771,0.863,0.38022680605671083,0.8932981809454033,0.8933308066795652,0.8933824380000346,0.8932981809454035
25314956,0.2194,0.52,243,0.8924,1.034,0.3924132363939136,0.9077877144312861,0.9078009561981253,0.9078573119833542,0.9077877144312864
29884214,0.1674,0.4889,246,0.8301,1.1846,0.40293034885087853,0.9013861235624149,0.9014297144842196,0.9014848843745785,0.9013861235624149
25703691,0.1627,0.4889,241,0.9906,1.4868,0.42400832378768394,0.9013861235624151,0.9014930110124061,0.901556904195585,0.9013861235624151
361953,0.1519,0.7326,141,0.7396,0.9962,0.42977489105861466,0.9500904560434732,0.9500904560434732,0.9500904560434732,0.9500904560434732
536427,0.1519,0.5945,522,0.7364,0.4267,0.3760371546066956,0.9228955518568561,0.9228955518568561,0.9228973609757878,0.9228955518568561
34135,0.0788,0.6277,75,0.8125,2.2837,0.5795761184043009,0.9296567116210721,0.9308878078969882,0.9316558178187009,0.9310438013684753
48681,0.0788,0.5874,192,0.814,0.6211,0.4393936119672902,0.9214693083659605,0.9225975349943939,0.9225975349943939,0.9214693083659605
123438,0.1461,NA,NA,0.2159,1.2513,NA,NA,NA,NA,NA
175463,0.1461,NA,NA,0.3456,1.2513,NA,NA,NA,NA,NA
4451019,0.2924,0.6,217,0.9347,1.1456,0.40015710295362633,0.9239984532774749,0.9239984532774749,0.9240337545441341,0.9239984532774749
5036020,0.2924,0.59,235,1.1947,1.1456,0.4000909821090772,0.9219919220241634,0.9220628257007983,0.9221202299512826,0.9219919220241634
5036020,0.2924,0.59,235,1.1947,1.1456,0.4000909821090772,0.9219919220241634,0.9220628257007983,0.9221202299512826,0.9219919220241634
32305041,0.2924,0.59,375,0.7039,1.1733,0.4019646392219904,0.9219919220241634,0.9219919220241634,0.9219919220241634,0.9219919220241634
34780671,0.285,0.4134,421,0.7297,1.1456,0.4000909821090772,0.8856047434332339,0.8856047434332339,0.8856548452896708,0.8856047434332339
33993882,0.2924,0.4048,380,0.7362,1.1259,0.39875081974022386,0.8837850279758701,0.8837850279758701,0.8838392014489742,0.8837850279758701
33993882,0.2924,0.3966,412,0.7362,1.1259,0.39875081974022386,0.8820456647466542,0.882045664746654,0.8821037841614153,0.882045664746654
33993882,0.2924,0.3966,515,0.6482,1.1259,0.39875081974022386,0.8820456647466542,0.8820456647466542,0.8820708349116297,0.882045664746654
63224960,0.2924,0.3966,552,0.635,1.1259,0.39875081974022386,0.8820456647466542,0.8820456647466542,0.8820658240814695,0.882045664746654
59834046,0.2924,0.3966,552,0.635,1.1259,0.39875081974022386,0.8820456647466542,0.8820456647466542,0.8820658240814695,0.882045664746654
67443703,0.4437,0.3966,552,0.635,1.375,0.4152441294764132,0.8820456647466542,0.882045664746654,0.882069429018319,0.8820456647466542
68059153,0.2212,0.4026,477,0.5417,1.3178,0.41154144031290424,0.8833187810680264,0.8833187810680266,0.8833238651242947,0.8833187810680264
75510962,0.2133,0.4026,477,0.5417,1.3279,0.4121987893867072,0.8833187810680264,0.8833187810680264,0.8833273059304898,0.8833187810680264
74711586,0.2133,0.4026,473,0.5348,1.2458,0.4068103525730556,0.8833187810680264,0.8833187810680264,0.8833210835989724,0.8833187810680264
1184244,0.1004,0.0685,385,0.5505,1.1177,0.4190239733058391,0.8087667917377117,0.8089721328360695,0.8090505762229476,0.8087667917377117
1766570,0.1004,0.0977,559,0.5113,0.6852,0.3861692820479342,0.8155987157904213,0.8157722388842794,0.815787800381704,0.8155987157904213
1413051,0.416,0.75,100,0.8018,0.9572,0.404249256566198,0.9534452978042594,0.9534452978042594,0.9534452978042591,0.9534452978042594
2035725,0.3915,0.79,100,0.6834,0.9424,0.3975335155684713,0.9610989241981835,0.9610989241981835,0.9610989241981835,0.9610989241981835
1920159,0.4014,0.8,92,0.7822,0.9844,0.40149953940483324,0.9629997092781115,0.9629997092781115,0.9629997092781115,0.9629997092781115
1945511,0.6096,0.79,106,0.7979,0.782,0.38616419775729005,0.9610989241981835,0.9610989241981835,0.9610989241981833,0.9610989241981835
2373775,0.5388,0.72,106,0.6641,0.6774,0.375170155507611,0.9476513106666533,0.9476513106666534,0.9476513106666533,0.9476513106666533
3496035,0.4711,0.6785,130,0.6542,0.7116,0.37237011637960465,0.9395587956788477,0.9395587956788477,0.9395587956788477,0.9395587956788477
4689330,0.416,0.6642,186,0.583,0.7981,0.37545987796658475,0.9367491255074791,0.9367491255074791,0.9367491255074791,0.9367491255074791
4143125,0.4717,0.677,171,0.6763,0.7595,0.3736395397832161,0.9392645882706048,0.9392645882706048,0.9392645882706048,0.9392645882706048
3358983,0.4875,0.677,190,0.4519,0.6934,0.3715297048361928,0.9392645882706048,0.9392645882706046,0.9392645882706048,0.939264588270605
4677601,0.3711,0.6432,184,0.6757,0.8161,0.3767900985991989,0.9326030982935866,0.9326030982935866,0.9326030982935866,0.9326030982935866
4677601,0.3711,0.6281,199,0.6757,0.8161,0.3767900985991989,0.929607110446427,0.929607110446427,0.9296071104464272,0.929607110446427
11384362,0.3711,0.6281,212,0.622,1.1032,0.3971986140735231,0.929607110446427,0.929607110446427,0.929607110446427,0.9296071104464272
30490903,0.0213,0.2447,52,0.4368,2.2766,0.5253284197337288,0.8537989674044432,0.8567523473556939,0.8567523473556939,0.8540349897160294
34019415,0.0324,0.25,103,0.6811,1.8039,0.4910330911686514,0.8523977374528419,0.856186677786388,0.85620462960101,0.8525260326517337
57222627,0.0279,0.1992,138,0.8103,2.1553,0.5150789970921766,0.8416875913492421,0.8528261589917888,0.8528261589917885,0.841874574485838
103363657,0.0211,0.2283,186,0.7538,1.9732,0.5067116240877493,0.8493792423763857,0.8719036475303366,0.8719036475303357,0.8495568587862785
118249358,0.0185,0.186,217,0.7211,1.9377,0.5055735108789398,0.8402528739246686,0.8741369418797547,0.8769796643252368,0.8404410511520443
171228825,0.0202,0.38,280,0.6936,1.7337,0.4914987612690285,0.8827127223550786,0.8861409140255089,0.8861409140255091,0.8828322857516147
185844935,0.0213,0.2447,314,0.7847,1.2998,0.46067204060557077,0.8528830745029192,0.8760382694941597,0.8760382694941602,0.8529697698159292
164951837,0.0213,0.2447,220,0.6524,1.2998,0.46067204060557077,0.8529641200357448,0.8604695624595358,0.8604695624595359,0.853053777933047
170135053,0.0213,0.2447,296,0.7052,1.2998,0.46067204060557077,0.852894649140675,0.8667495055738161,0.8667495055738181,0.8529817675595465
195484939,0.0213,0.2447,337,0.6548,1.2998,0.46067204060557077,0.8528700681656893,0.860756978345351,0.860756978345351,0.8529562880376846
1189144,0.10645,1,152,0.5938,1.365,0.43598349362345296,1,1,1,1
1647521,0.0978,1,183,0.6156,1.2353,0.42823124833877946,0.9999999999999998,0.9999999999999998,1.0000000000000002,1.0000000000000002
2227851,0.0926,1,193,0.5811,1.299,0.43443138959050165,0.9999999999999998,1,1.0000000000000002,1.0000000000000002
2234707,0.0943,1,312,0.6147,1.5278,0.4492762030919627,1,1,1,1
2544315,0.0882,1,1174,0.5252,1.2608,0.43327591127802284,1,1,1.0000000000000002,1.0000000000000002
3354282,0.0806,1,1126,0.6205,1.5379,0.4548509956279378,1.0000000000000002,1.0000000000000002,1,1
3520569,0.1151,0.6557,569,0.6056,1.3612,0.4310949323994387,0.9350738412331803,0.9350738412331803,0.9350738412331803,0.93507384123318
3921934,0.0819,0.9902,978,0.5107,1.4635,0.449413016110372,0.9982305300880794,0.9982305300880794,0.9982305300880794,0.9982305300880794
3930924,0.0846,1,868,0.5528,1.4523,0.4476947066711335,1,1,1,1
4087791,0.1234,0.3274,1088,0.6607,1.1115,0.41121644914695415,0.8671976543800834,0.8673010479606842,0.8673358608621422,0.8671976543800832
4809541,0.1688,0.8064,1120,0.6216,0.8138,0.37662047602533827,0.9642135884378424,0.9642135884378424,0.9642135884378424,0.9642135884378424
5447238,0.1688,0.8064,123,0.6461,1.045,0.39317937966418914,0.9642135884378424,0.9642135884378429,0.9642135884378429,0.9642135884378424
5793950,0.1539,0.8064,121,0.6527,1.6682,0.4380233538921257,0.9642135884378427,0.9642135884378427,0.9642135884378427,0.9642135884378427
4823317,0.1539,0.8064,109,0.6655,1.6682,0.4380233538921257,0.9642135884378427,0.9642135884378424,0.9642135884378429,0.9642135884378424
4785466,0.1539,0.8064,117,0.6353,1.6682,0.4380233538921257,0.9642135884378424,0.9642135884378424,0.9642135884378424,0.9642135884378424
63471,0.3478,0.8,61,0.6589,0.4966,0.42138287372614314,0.9629997092781115,0.9629997092781115,0.9629997092781115,0.9629997092781115
53349,0.3862,0.8493,37,0.5151,0.397,0.41551507512069413,0.9722980568845985,0.9722980568845982,0.9722980568845982,0.9722980568845985
58305,0.3094,0.8012,63,0.8745,0.3264,0.40643025697177465,0.9632274672720401,0.9632274672720401,0.9632274672720401,0.9632274672720401
1553360,0.2961,0.7143,56,0.2007,1.0672,0.4108025956550611,0.9465451724499488,0.9465451724499488,0.9465451724499488,0.9465451724499488
63348,0.5415,0.803,18,0.1689,2.2348,0.5572810967604719,0.963568969484252,0.963568969484252,0.9635689694842522,0.9635689694842522
86943,0.2961,0.729,35,0.8372,1.3319,0.48532636476161684,0.9493943985557772,0.949394398555777,0.949394398555777,0.9493943985557772
156934,0.4259,0.9101,33,0.9028,1.2885,0.4676330124475745,0.9836027523160891,0.9836027523160891,0.9836027523160891,0.9836027523160891
213655,0.4051,0.9099,42,0.911,1.2901,0.4617299617058805,0.9835658547447027,0.9835658547447027,0.9835658547447027,0.9835658547447027
290463,0.4798,0.9101,59,0.8094,0.9953,0.43360102050674515,0.9836027523160891,0.9836027523160891,0.9836027523160891,0.9836027523160892
392337,0.508,0.8299,58,0.7587,1.185,0.4426389846771289,0.9686533616903205,0.9686533616903205,0.9686533616903207,0.9686533616903205
543047,0.4651,0.9099,71,0.7545,1.0831,0.4293363541452089,0.9835658547447027,0.9835658547447027,0.9835658547447027,0.9835658547447027
1553360,0.3277,0.5264,55,0.8621,1.111,0.41393905765790523,0.9090980645108542,0.909098064510854,0.9091392553209603,0.9090980645108542
5571205,0.1979,0.91,118,0.9629,1.5862,0.42850838319066054,0.983584303766314,0.983584303766314,0.983584303766314,0.983584303766314
15729945,0.1232,0.5911,83,0.9508,2.0091,0.4687237997055647,0.9222129138718455,0.9223219501427695,0.9223797351627283,0.9222129138718456
28526712,0.1594,0.91,167,0.9195,1.6393,0.43449724663269623,0.983584303766314,0.9835843037663138,0.983584303766314,0.9835843037663138
42996238,0.1489,0.91,152,0.9468,1.6554,0.4388621511769953,0.9835843037663138,0.983584303766314,0.9835843037663138,0.983584303766314
62942004,0.1106,0.91,170,0.944,1.8581,0.4642861411331329,0.9835843037663138,0.983584303766314,0.9836129796642656,0.9835843037663138
62942004,0.1106,0.91,490,0.944,1.8581,0.4642861411331329,0.9835843037663138,0.9835843037663138,0.9836107296080953,0.983584303766314
62942004,0.1106,0.91,125,0.944,1.8581,0.4642861411331329,0.9835843037663142,0.9835843037663138,0.9836152697887627,0.9835843037663138
55784,0.0783,0.8929,539,0.5379,0.2068,0.39498569484980156,0.9804226427565391,0.9804235428259296,0.9804235428259296,0.9804226427565391
53939,0.0783,0.8621,787,0.8466,0.468,0.42229286758839923,0.9746927599843014,0.97527704042151,0.97527704042151,0.9746927599843014
46828,0.0783,0.9365,659,0.8863,0.5114,0.42979374403758686,0.988456739112335,0.9891132323889313,0.9891132323889313,0.988456739112335
26955446,0.0831,0.5582,515,0.5065,1.0435,0.4193232348391558,0.9155738020842814,0.915573997652511,0.915573997652511,0.9155738020842814
37813547,0.0992,0.5582,512,0.5472,1.1709,0.4232214545302585,0.9155738020842814,0.9155738020842815,0.9155830894348023,0.9155738020842815
60613276,0.094,0.5582,814,0.6077,1.0733,0.41790579802305833,0.9155738020842815,0.9155995345311452,0.9156053217664426,0.9155738020842815
84479859,0.0851,0.1618,551,0.6093,1.1638,0.42744186453671507,0.830373056376009,0.8305745174090905,0.8305988507930738,0.830373056376009
77009477,0.0843,0.2295,782,0.7216,1.2107,0.4310723411272398,0.8456554101131514,0.8458713591291089,0.8458926249937826,0.8456554101131514
99784922,0.094,0.27,575,0.627,1.2001,0.4270273822454682,0.8546453178616791,0.8547961896157019,0.8548213468365629,0.8546453178616791
127075397,0.0875,0.33,853,0.6859,0.9671,0.4121548451150157,0.8677610886482687,0.8679172010654416,0.8679243982386313,0.867761088648269
148180738,0.0762,0.1797,1076,0.7353,1.3898,0.44644229827752424,0.8344453278917575,0.8346975897055818,0.8350705212063085,0.8344453278917577
177055957,0.0858,0.1737,1077,0.6823,1.2606,0.4340871658158372,0.8330828805692752,0.8333063077133025,0.8333339345931146,0.8330828805692752
211119674,0.0674,0.2522,1498,0.619,1.0993,0.4288120254927938,0.8507079906584811,0.8508957741982122,0.8509023103296427,0.8507079906584812
236126412,0.0674,0.5582,858,0.5498,1.0993,0.4288120254927938,0.9155738020842814,0.9156117699650471,0.9156117699650471,0.9155738020842815
294979770,0.0605,0.5582,858,0.4839,1.3069,0.44632687415302214,0.9155738020842814,0.9155946584686403,0.9155946584686403,0.9155738020842815
315899186,0.0605,0.5582,2118,0.4818,1.4791,0.45830979765019836,0.9155738020842814,0.9155938153269603,0.9155981690689577,0.9155738020842814
433781741,0.0605,0.5582,2221,0.4943,1.4791,0.45830979765019836,0.9155738020842814,0.9155988265507488,0.9156030470154928,0.9155738020842814
