liabilities_and_equity,operating_expense_._assets,percent_of_female_borrowers,average_loan_balance_per_borrower,gross_loan_portfolio_to_total_assets,operational_self_sufficiency,finefftheta_hat,se_no_breadththeta_hat,se_with_breadththeta_hat,finsoc_with_breadththeta_hat,finsoc_no_breadththeta_hat
676355,0.8832,0.4966,2171,0.4719,0.2048,0.3523143243583545,0.9029763828586713,0.9029763828586713,0.9029763828586713,0.9029763828586712
43795,0.20505,0.5513,211,0.7523,1.0757,0.48254568102439627,0.9141736193839993,0.9141922793990639,0.9142711683283452,0.9141736193839993
55476,0.2301,0.5311,182,0.7909,1.6439,0.5206528036105839,0.9100588392461836,0.9100747786574577,0.9101888201915529,0.9100588392461835
86010,0.18,0.5791,188,0.8174,1.2312,0.47781089834528734,0.9197984265975491,0.91983116534762,0.9199184744349249,0.9197984265975491
351973,NA,0.5526,136,0.5701,NA,NA,NA,NA,NA,NA
412546,NA,0.5526,164,0.6035,NA,NA,NA,NA,NA,NA
15337,0.21385,0.73,81,0.5281,1.2369,0.5259738087777598,0.9495878152402566,0.9495878152402566,0.9495878152402566,0.9495878152402566
109120,0.2137,0.6982,134,0.5554,1.3763,0.48293206913005,0.9434116241620076,0.9434116241620076,0.9434116241620076,0.9434116241620079
154049,0.214,0.5674,101,0.6515,1.1543,0.4577804798610925,0.9174364945945807,0.9174364945945807,0.9174507469090423,0.9174364945945807
224622,0.3398,0.4815,138,0.7283,1.6748,0.48793815321293404,0.8998545117017758,0.8998545117017759,0.8998984573014469,0.8998545117017758
359189,0.3251,0.4819,157,0.6142,1.2549,0.4493754475207103,0.8999373847260156,0.8999373847260156,0.8999373847260156,0.8999373847260156
345932,0.3398,0.4817,145,0.7102,1.0224,0.4326019338811488,0.8998959494040186,0.8998959494040186,0.8998959494040186,0.8998959494040186
870040,0.3398,0.4817,407,0.7615,1.5278,0.45232106059120936,0.8998959494040186,0.8998959494040186,0.8999325517494228,0.8998959494040186
1035922,0.0656,0.336,71,0.6754,0.8165,0.4076802461583704,0.8690596443912881,0.8692603852080862,0.8692603852080862,0.8690596443912882
953177,0.0656,0.3573,48,0.652,1.0118,0.42287122479085887,0.8736507292228765,0.8738360801165402,0.8738387280617249,0.8736507292228765
1776472,0.5817,0.99,144,0.9116,0.6472,0.37693768212467393,0.9981943732238107,0.9981943732238107,0.9981943732238107,0.9981943732238104
1672325,0.3464,0.99,76,0.559,0.6494,0.3779889744714529,0.9981943732238107,0.9981943732238107,0.9981943732238104,0.9981943732238107
1585089,0.5314,0.9801,62,0.5259,8.1826,0.7064037814293543,0.9964023394663326,0.9964023394663326,0.9970769953359193,0.9970769953359193
2499414,0.496,0.9801,62,0.7406,0.8041,0.38417781962152486,0.9964023394663326,0.9964023394663326,0.9964023394663326,0.9964023394663324
4125516,0.4671,0.99,142,0.7633,0.9304,0.38624341974758075,0.9981943732238107,0.9981943732238107,0.9981943732238107,0.9981943732238109
4926276,0.5279,0.99,146,0.8174,0.9251,0.3847136806472087,0.9981943732238107,0.9981943732238107,0.9981943732238107,0.9981943732238104
6590946,0.5155,0.99,146,0.8124,0.9637,0.38746698657982254,0.9981943732238107,0.9981943732238107,0.9981943732238107,0.9981943732238104
8066221,0.4917,0.99,172,0.8826,0.9694,0.387871289285159,0.9981943732238107,0.9981943732238107,0.9981943732238107,0.9981943732238109
10912100,0.4896,0.99,182,0.8374,0.9557,0.38689856245576165,0.9981943732238107,0.9981943732238107,0.9981943732238104,0.9981943732238107
13453075,0.4422,0.99,182,0.8758,0.8499,0.3792710904933031,0.9981943732238107,0.9981943732238107,0.9981943732238107,0.9981943732238104
16149954,0.4946,0.99,182,0.823,0.8802,0.38147672925947473,0.9981943732238107,0.9981943732238107,0.9981943732238104,0.9981943732238107
20708808,0.4799,0.99,247,0.8855,0.9407,0.3858296619382419,0.9981943732238107,0.9981943732238104,0.9981943732238107,0.9981943732238104
20464654,0.4622,0.99,227,0.9663,1.0065,0.39048870067140046,0.9981943732238107,0.9981943732238107,0.9981943732238107,0.9981943732238107
21742467,0.459,0.99,193,0.8577,0.9921,0.38947566758904884,0.9981943732238107,0.9981943732238107,0.9981943732238104,0.9981943732238107
26065606,0.42,0.9974,197,0.8537,0.965,0.3875592471249365,0.9995309716609819,0.9995309716609819,0.9995309716609819,0.9995309716609819
28411680,0.4176,0.9974,184,0.8443,1.0155,0.39111999905849343,0.9995309716609819,0.9995309716609819,0.9995309716609819,0.9995309716609819
23503979,0.3974,0.9988,150,0.8861,1.0081,0.3906010350745314,0.9997835632767347,0.9997835632767347,0.9997835632767347,0.9997835632767347
35209734,0.4556,0.9993,206,0.9371,1.0786,0.3955067627231385,0.9998737531369994,0.9998737531369994,0.9998737531369994,0.9998737531369994
37301332,0.4465,0.9994,200,0.942,1.0579,0.394075206862045,0.9998917897559623,0.9998917897559623,0.9998917897559623,0.9998917897559623
16149,0.5242,0.7561,180,0.4564,0.7029,0.47547892871053665,0.9546177364457374,0.9546177364457377,0.9546177364457377,0.9546177364457374
32415,0.6419,0.8,135,0.5828,0.3961,0.42690525430784204,0.9629997092781115,0.9629997092781115,0.9629997092781115,0.9629997092781115
63948,0.4065,0.7508,147,0.6809,0.8401,0.4527457453940117,0.953599168862958,0.953599168862958,0.953599168862958,0.953599168862958
4394649,NA,0.5712,1143,2.1984,0.6078,NA,NA,NA,NA,NA
245370,0.1068,0.5782,103,0.8752,1.0844,0.44358921865950185,0.9196170138380386,0.9197578028374193,0.9197868397150419,0.9196170138380386
279866,0.114,0.5748,66,0.8411,0.8865,0.4256098010719591,0.9189312647106184,0.9190456412033541,0.9190671067156342,0.9189312647106184
452863,0.1116,0.5748,101,0.7361,1.1032,0.4340010144346364,0.9189312647106186,0.9189983689169444,0.9190325367246049,0.9189312647106186
582185,0.116,0.5423,102,0.7568,0.8528,0.41047158058254035,0.912343200085613,0.9124181880328845,0.9124378685808197,0.912343200085613
1156636,0.1199,0.6631,128,0.8205,1.5803,0.45071453900149366,0.9365325430614352,0.9365673606784942,0.9366161451946428,0.936532543061435
1762217,0.1068,0.4006,137,0.8907,1.3432,0.43264844215376996,0.8828946585720099,0.8830762831701124,0.883106717578645,0.8828946585720099
1762217,0.1068,0.4006,137,0.8907,1.3435,0.43266879029182614,0.8828946585720099,0.8830762831701124,0.8831067354489565,0.88289465857201
1999179,0.1068,0.5721,138,0.9374,1.2382,0.42543884378746266,0.9183862344463481,0.9185153875882398,0.9185328664914773,0.9183862344463479
1121359,0.1068,0.5721,95,1.2024,1.2382,0.42824052646053357,0.9183862344463479,0.9186090206655433,0.9186283634121066,0.9183862344463479
1742104,0.1068,0.5721,167,0.9198,1.2382,0.42543884378746266,0.9183862344463477,0.9185080202141235,0.918525430879552,0.9183862344463477
6252681,0.0518,0.12,116,0.7061,1.0676,0.431928461411526,0.8207730145437621,0.8236617176461966,0.8236688191623165,0.8208784254714406
7492040,0.0746,0.1374,115,0.6448,1.0769,0.42467091760831926,0.824784738009274,0.8250279880319319,0.8251393004723915,0.824784738009274
9667395,0.0757,0.1358,115,0.7393,0.9482,0.414611078268833,0.8244167739533734,0.8246950676651662,0.8247052651981513,0.8244167739533734
13252217,0.0689,0.1949,117,0.7649,1.4931,0.4561374827073874,0.8378853878456224,0.8381557188764066,0.8388680235479125,0.8380850576691569
20551685,0.0573,0.2338,124,0.7602,1.4677,0.45873083371613377,0.8466152277900494,0.8478919499587795,0.8478991130553837,0.8469089928738116
29255989,0.0518,0.2208,138,0.8547,1.816,0.48392124680089355,0.8437095386859451,0.8466163391319461,0.8466300911019615,0.8446019483226698
58834886,0.0518,0.2208,180,0.8068,1.816,0.4839212468008932,0.8437095386859451,0.8462465927581733,0.846259577253719,0.8445738690119095
